,name,light_years_from_earth,planet_mass,stellar_magnitude,discovery_date,planet_type,planet_radius,orbital_radius,orbital_period,eccentricity,solar_system_name,planet_discovery_method,planet_orbital_inclination,planet_density,host_temperature,host_mass,host_radius
1168,K2-205 b,1337.0,4.64 Earths,12.391,2018,Super Earth,1.996 x Earth,Unknown,26.7 days,0.0,K2-205,Transit,89.097,,5890.0,0.95,1.08
1169,K2-206 b,803.0,8.22 Earths,13.1,2018,Neptune-like,0.249 x Jupiter,Unknown,18.3 days,0.0,K2-206,Transit,89.112,,5043.0,0.79,0.76
1170,K2-207 b,1197.0,7.3 Earths,13.166,2018,Neptune-like,0.232 x Jupiter,Unknown,12.5 days,0.0,K2-207,Transit,88.62,,5522.0,0.94,0.93
1171,K2-208 b,844.0,3.46 Earths,12.503,2018,Super Earth,1.679 x Earth,Unknown,4.2 days,0.0,K2-208,Transit,88.043,,5582.0,0.93,0.86
1172,K2-209 b,250.0,0.586 Earths,11.205,2018,Terrestrial,0.869 x Earth,Unknown,2.1 days,0.0,K2-209,Transit,86.231,,4720.0,0.74,0.71
1173,K2-210 b,579.0,0.474 Earths,11.535,2018,Terrestrial,0.819 x Earth,Unknown,0.6 days,0.0,K2-21,Transit,88.98,,4222.06,0.68,0.65
1174,K2-211 b,895.0,2.46 Earths,13.075,2018,Super Earth,1.375 x Earth,Unknown,0.7 days,0.0,K2-21,Transit,88.85,,4222.06,0.68,0.65
1175,K2-212 b,357.0,6.9 Earths,13.1,2018,Neptune-like,0.225 x Jupiter,0.0785 AU,9.8 days,0.0,K2-210,Transit,84.105,,5396.0,0.91,0.85
1176,K2-213 b,1285.0,2.9 Earths,11.803,2018,Super Earth,1.514 x Earth,Unknown,8.1 days,0.0,K2-211,Transit,81.569,,5221.0,0.88,0.82
1177,K2-214 b,989.0,6.48 Earths,11.805,2018,Neptune-like,0.217 x Jupiter,0.0834 AU,8.6 days,0.0,K2-212,Transit,,,4272.0,0.67,0.65
1178,K2-215 b,1333.0,5.16 Earths,12.986,2018,Neptune-like,2.124 x Earth,Unknown,8.3 days,0.0,K2-213,Transit,87.862,,5794.0,1.07,1.2
1179,K2-216 b,378.0,8 Earths,12.476,2018,Super Earth,1.75 x Earth,0.028 AU,2.2 days,0.0,K2-214,Transit,,,5854.0,1.05,1.27
1180,K2-217 b,1259.0,12.5 Earths,12.187,2018,Neptune-like,0.319 x Jupiter,Unknown,14.1 days,0.0,K2-215,Transit,88.984,,5704.0,1.0,0.97
1181,K2-218 b,1300.0,7.13 Earths,12.876,2018,Neptune-like,0.229 x Jupiter,Unknown,8.7 days,0.0,K2-216,Transit,86.9,8.2,4503.0,0.7,0.72
1182,K2-219 b,1071.0,2.38 Earths,12.09,2018,Super Earth,1.348 x Earth,Unknown,3.9 days,0.0,K2-217,Transit,88.043,,5967.0,1.1,1.33
1183,K2-219 c,1071.0,2.66 Earths,12.09,2018,Super Earth,1.438 x Earth,Unknown,6.7 days,0.0,K2-218,Transit,88.453,,5757.0,1.05,1.01
1184,K2-219 d,1071.0,7.16 Earths,12.09,2018,Neptune-like,0.23 x Jupiter,Unknown,11.1 days,0.0,K2-219,Transit,86.795,,5753.0,1.02,1.19
1185,K2-21 b,274.0,4.04 Earths,12.85,2015,Neptune-like,1.84 x Earth,0.076 AU,9.3 days,0.1,K2-219,Transit,87.269,,5753.0,1.02,1.19
1186,K2-21 c,274.0,6.76 Earths,12.85,2015,Super Earth,0.222 x Jupiter,0.107 AU,15.5 days,0.21,K2-219,Transit,88.287,,5753.0,1.02,1.19
1187,K2-220 b,766.0,6.3 Earths,11.89,2018,Neptune-like,0.213 x Jupiter,0.1104 AU,13.7 days,0.0,K2-22,Transit,,,3830.0,0.6,0.57
1188,K2-221 b,1049.0,3.46 Earths,12.703,2018,Super Earth,1.679 x Earth,Unknown,2.4 days,0.0,K2-220,Transit,,,5660.0,0.96,1.02
1189,K2-222 b,331.0,6.3 Earths,9.543,2018,Neptune-like,0.213 x Jupiter,0.1211 AU,15.4 days,0.0,K2-221,Transit,85.447,,5716.0,1.01,0.95
1190,K2-223 b,656.0,0.64 Earths,11.431,2018,Terrestrial,0.89 x Earth,0.0127 AU,0.5 days,0.0,K2-222,Transit,,,6058.0,1.0,1.09
1191,K2-223 c,656.0,3.09 Earths,11.431,2018,Super Earth,1.57 x Earth,0.0549 AU,4.6 days,0.0,K2-223,Transit,,,5835.0,1.06,0.99
1192,K2-224 b,906.0,3.05 Earths,12.682,2018,Super Earth,1.56 x Earth,0.0516 AU,4.5 days,0.0,K2-223,Transit,,,5835.0,1.06,0.99
1193,K2-224 c,906.0,6.39 Earths,12.682,2018,Neptune-like,0.215 x Jupiter,0.0886 AU,10.1 days,0.0,K2-224,Transit,,,5620.0,0.91,0.84
1194,K2-225 b,1175.0,12 Earths,11.836,2018,Neptune-like,0.311 x Jupiter,0.134 AU,15.9 days,0.0,K2-224,Transit,,,5620.0,0.91,0.84
1195,K2-226 b,689.0,2.99 Earths,12.308,2018,Super Earth,1.54 x Earth,0.0413 AU,3.3 days,0.0,K2-225,Transit,,,5742.0,1.27,1.7
1196,K2-227 b,614.0,3.41 Earths,12.015,2018,Super Earth,1.666 x Earth,Unknown,13.6 days,0.0,K2-226,Transit,,,5424.0,0.88,0.91
1197,K2-228 b,465.0,1.92 Earths,12.995,2018,Super Earth,1.21 x Earth,0.0338 AU,2.7 days,0.0,K2-227,Transit,88.374,,5673.0,0.95,0.89
1198,K2-229 b,339.0,2.49 Earths,10.985,2018,Super Earth,1.14 x Earth,0.0131 AU,0.6 days,0.0,K2-228,Transit,,,4715.0,0.71,0.65
1199,K2-229 c,339.0,21.3 Earths,10.985,2018,Super Earth,2.03 x Earth,0.0769 AU,8.3 days,0.0,K2-229,Transit,,,5315.0,0.87,0.79
1200,K2-223 b,656.0,0.64 Earths,11.431,2018,Terrestrial,0.89 x Earth,0.0127 AU,0.5 days,0.0,K2-229,Transit,,,5315.0,0.87,0.79
1201,K2-223 c,656.0,3.09 Earths,11.431,2018,Super Earth,1.57 x Earth,0.0549 AU,4.6 days,0.0,K2-230,Transit,,,5945.0,1.11,1.39
1202,K2-224 b,906.0,3.05 Earths,12.682,2018,Super Earth,1.56 x Earth,0.0516 AU,4.5 days,0.0,K2-231,Transit,88.6,,5695.0,1.01,0.95
1203,K2-224 c,906.0,6.39 Earths,12.682,2018,Neptune-like,0.215 x Jupiter,0.0886 AU,10.1 days,0.0,K2-232,Transit,89.14,,6154.0,1.19,1.16
1204,K2-225 b,1175.0,12 Earths,11.836,2018,Neptune-like,0.311 x Jupiter,0.134 AU,15.9 days,0.0,K2-233,Transit,88.79,,4950.0,0.8,0.74
1205,K2-226 b,689.0,2.99 Earths,12.308,2018,Super Earth,1.54 x Earth,0.0413 AU,3.3 days,0.0,K2-233,Transit,88.95,,4950.0,0.8,0.74
1206,K2-227 b,614.0,3.41 Earths,12.015,2018,Super Earth,1.666 x Earth,Unknown,13.6 days,0.0,K2-233,Transit,89.35,,4950.0,0.8,0.74
1207,K2-228 b,465.0,1.92 Earths,12.995,2018,Super Earth,1.21 x Earth,0.0338 AU,2.7 days,0.0,K2-237,Transit,84.6,0.37,6099.0,1.23,1.38
1208,K2-229 b,339.0,2.49 Earths,10.985,2018,Super Earth,1.14 x Earth,0.0131 AU,0.6 days,0.0,K2-238,Transit,84.5,0.56,5630.0,1.19,1.59
1209,K2-229 c,339.0,21.3 Earths,10.985,2018,Super Earth,2.03 x Earth,0.0769 AU,8.3 days,0.0,K2-239,Transit,88.99,,3420.0,0.4,0.36
1210,K2-239 c,160.0,0.972 Earths,14.549,2018,Terrestrial,1.0 x Earth,0.0576 AU,7.8 days,0.0,K2-239,Transit,88.77,,3420.0,0.4,0.36
1211,K2-239 d,160.0,1.37 Earths,14.549,2018,Super Earth,1.1 x Earth,0.0685 AU,10.1 days,0.0,K2-239,Transit,89.43,,3420.0,0.4,0.36
1212,K2-240 b,228.0,4.66 Earths,13.392,2018,Super Earth,2.0 x Earth,0.0513 AU,6 days,0.0,K2-24,Transit,,0.64,5625.0,1.07,1.16
1213,K2-240 c,228.0,3.89 Earths,13.392,2018,Super Earth,1.8 x Earth,0.1159 AU,20.5 days,0.0,K2-24,Transit,,0.2,5625.0,1.07,1.16
1214,K2-241 b,488.0,7.04 Earths,11.97,2018,Neptune-like,0.227 x Jupiter,0.1567 AU,26.8 days,0.0,K2-240,Transit,89.26,,3810.0,0.58,0.54
1215,K2-242 b,358.0,6.99 Earths,16.588,2018,Neptune-like,0.227 x Jupiter,0.0494 AU,6.5 days,0.0,K2-240,Transit,89.66,,3810.0,0.58,0.54
1216,K2-243 b,878.0,5.35 Earths,10.97,2018,Neptune-like,2.17 x Earth,0.1087 AU,11.5 days,0.0,K2-241,Transit,,,5262.0,0.71,0.75
1217,K2-243 c,878.0,4.7 Earths,10.97,2018,Super Earth,2.01 x Earth,0.1817 AU,24.9 days,0.0,K2-242,Transit,,,3459.0,0.38,0.37
1218,K2-244 b,698.0,3.71 Earths,11.78,2018,Super Earth,1.75 x Earth,0.1418 AU,21.1 days,0.0,K2-243,Transit,,,6570.0,1.29,1.39
1219,K2-245 b,1512.0,17.4 Earths,12.212,2018,Neptune-like,0.387 x Jupiter,0.0959 AU,11.9 days,0.0,K2-243,Transit,,,6570.0,1.29,1.39
1220,K2-246 b,2359.0,12 Earths,14.55,2018,Neptune-like,0.311 x Jupiter,0.0602 AU,5.8 days,0.0,K2-244,Transit,,,5677.0,0.86,0.92
1221,K2-247 b,849.0,5.14 Earths,14.956,2018,Neptune-like,2.12 x Earth,0.0304 AU,2.3 days,0.0,K2-245,Transit,,,5793.0,0.83,1.25
1222,K2-247 c,849.0,5.43 Earths,14.956,2018,Neptune-like,2.19 x Earth,0.0615 AU,6.5 days,0.0,K2-246,Transit,,,5610.0,0.87,0.94
1223,K2-248 b,1339.0,7.13 Earths,13.402,2018,Neptune-like,0.229 x Jupiter,0.0699 AU,7.2 days,0.0,K2-247,Transit,,,4667.0,0.74,0.69
1224,K2-249 b,1723.0,8.2 Earths,11.827,2018,Neptune-like,0.249 x Jupiter,0.1151 AU,12.4 days,0.0,K2-247,Transit,,,4667.0,0.74,0.69
1225,K2-24 b,559.0,19 Earths,11.07,2016,Neptune-like,0.482 x Jupiter,0.154 AU,20.9 days,0.06,K2-248,Transit,,,5528.0,0.88,0.92
1226,K2-24 c,559.0,15.4 Earths,11.07,2016,Neptune-like,0.669 x Jupiter,0.247 AU,42.3 days,< 0.07,K2-249,Transit,,,6504.0,1.32,1.57
1227,K2-250 b,1362.0,6.53 Earths,14.267,2018,Neptune-like,0.218 x Jupiter,0.0459 AU,4 days,0.0,K2-25,Transit,88.3,,3180.0,0.29,0.29
1228,K2-251 b,482.0,6.12 Earths,15.621,2018,Neptune-like,0.21 x Jupiter,0.0694 AU,9.3 days,0.0,K2-250,Transit,,,5172.0,0.8,0.81
1229,K2-252 b,750.0,3.68 Earths,12.847,2018,Super Earth,1.74 x Earth,0.1041 AU,13.8 days,0.0,K2-251,Transit,,,3717.0,0.52,0.49
1230,K2-253 b,2942.0,Unknown,14.868,2018,Gas Giant,1.13 x Jupiter,0.0506 AU,4 days,0.0,K2-252,Transit,,,5152.0,0.79,0.82
1231,K2-254 b,748.0,3.29 Earths,14.183,2018,Super Earth,1.63 x Earth,0.0448 AU,4.1 days,0.0,K2-253,Transit,,,6027.0,1.08,1.1
1232,K2-254 c,748.0,5.43 Earths,14.183,2018,Neptune-like,2.19 x Earth,0.0923 AU,12.1 days,0.0,K2-254,Transit,,,4629.0,0.71,0.67
1233,K2-255 b,628.0,8.75 Earths,13.756,2018,Neptune-like,0.259 x Jupiter,0.0274 AU,2 days,0.0,K2-254,Transit,,,4629.0,0.71,0.67
1234,K2-256 b,1894.0,7.41 Earths,14.939,2018,Neptune-like,0.235 x Jupiter,0.0578 AU,5.5 days,0.0,K2-255,Transit,,,4676.0,0.71,0.69
1235,K2-257 b,209.0,0.498 Earths,13.716,2018,Terrestrial,0.83 x Earth,0.0216 AU,1.6 days,0.0,K2-256,Transit,,,5219.0,0.84,0.78
1236,K2-258 b,2203.0,9.27 Earths,13.298,2018,Neptune-like,0.268 x Jupiter,0.149 AU,19.1 days,0.0,K2-257,Transit,,,3725.0,0.52,0.5
1237,K2-259 b,1377.0,5.99 Earths,12.536,2018,Neptune-like,0.207 x Jupiter,0.1271 AU,15.5 days,0.0,K2-258,Transit,,,6351.0,1.21,1.31
1238,K2-25 b,147.0,11.6 Earths,15.881,2015,Neptune-like,0.306 x Jupiter,Unknown,3.5 days,0.27,K2-259,Transit,,,6059.0,1.14,1.13
1239,K2-260 b,2206.0,1.42 Jupiters,12.689,2018,Gas Giant,1.552 x Jupiter,0.0404 AU,2.6 days,0.0,K2-26,Transit,88.4,,3785.0,0.56,0.52
1240,K2-261 b,700.0,0.223 Jupiters,10.612,2018,Gas Giant,0.85 x Jupiter,0.102 AU,11.6 days,0.39,K2-260,Transit,88.67,0.5,6367.0,1.39,1.69
1241,K2-263 b,532.0,14.8 Earths,11.606,2018,Super Earth,0.215 x Jupiter,0.2573 AU,50.8 days,< 0.14,K2-261,Transit,88.4,0.483,5537.0,1.1,1.65
1242,K2-264 b,610.0,5.61 Earths,15.662,2018,Neptune-like,2.231 x Earth,0.05023 AU,5.8 days,< 0.5,K2-263,Transit,89.24,5.7,5368.0,0.88,0.85
1243,K2-264 c,610.0,7.6 Earths,15.662,2018,Neptune-like,0.238 x Jupiter,0.11283 AU,19.7 days,< 0.45,K2-264,Transit,89.01,,3660.0,0.5,0.47
1244,K2-265 b,454.0,6.54 Earths,11.102,2018,Super Earth,1.71 x Earth,0.03376 AU,2.4 days,0.08,K2-264,Transit,89.38,,3660.0,0.5,0.47
1245,K2-266 b,252.0,11.26782 Earths,11.808,2018,Neptune-like,0.294 x Jupiter,0.01306 AU,0.7 days,0.0,K2-265,Transit,87.7,7.1,5477.0,0.92,0.98
1246,K2-266 c,252.0,0.29013 Earths,11.808,2018,Terrestrial,0.705 x Earth,0.0679 AU,7.8 days,0.04,K2-266,Transit,75.32,1.77,4285.0,0.69,0.7
1247,K2-266 d,252.0,8.9 Earths,11.808,2018,Neptune-like,0.261 x Jupiter,0.1035 AU,14.7 days,0.05,K2-266,Transit,88.28,4.51,4285.0,0.69,0.7
1248,K2-266 e,252.0,14.3 Earths,11.808,2018,Neptune-like,0.244 x Jupiter,0.1249 AU,19.5 days,0.04,K2-266,Transit,89.46,2.03,4285.0,0.69,0.7
1249,K2-268 b,1081.0,2.57 Earths,13.853,2018,Super Earth,1.41 x Earth,0.0308 AU,2.2 days,0.0,K2-266,Transit,89.45,2.21,4285.0,0.69,0.7
1250,K2-268 c,1081.0,7.7 Earths,13.853,2018,Neptune-like,0.24 x Jupiter,0.0819 AU,9.3 days,0.0,K2-268,Transit,,,5068.0,0.84,0.78
1251,K2-269 b,1181.0,3.09 Earths,11.784,2018,Super Earth,1.57 x Earth,0.0531 AU,4.1 days,0.0,K2-268,Transit,,,5068.0,0.84,0.78
1252,K2-26 b,324.0,7.61 Earths,14.53,2016,Neptune-like,0.238 x Jupiter,0.0962 AU,14.6 days,0.0,K2-269,Transit,,,6209.0,1.16,1.45
1253,K2-270 b,925.0,2.48 Earths,13.782,2018,Super Earth,1.38 x Earth,0.0247 AU,1.5 days,0.0,K2-27,Transit,,1.87,5248.0,0.87,0.89
1254,K2-270 c,925.0,9.01 Earths,13.782,2018,Neptune-like,0.263 x Jupiter,0.0497 AU,4.4 days,0.0,K2-270,Transit,,,4877.0,0.85,0.77
1255,K2-271 b,1864.0,0.131 Jupiters,13.827,2018,Gas Giant,0.649 x Jupiter,0.077 AU,8.6 days,0.0,K2-270,Transit,,,4877.0,0.85,0.77
1256,K2-272 b,1391.0,8.8 Earths,13.841,2018,Neptune-like,0.26 x Jupiter,0.1081 AU,14.5 days,0.0,K2-271,Transit,,,5644.0,0.83,0.99
1257,K2-273 b,1013.0,17.9 Earths,13.371,2018,Neptune-like,0.394 x Jupiter,0.0974 AU,11.7 days,0.0,K2-272,Transit,,,5419.0,0.81,0.81
1258,K2-274 b,759.0,5.48 Earths,13.086,2018,Neptune-like,2.2 x Earth,0.1064 AU,14.1 days,0.0,K2-273,Transit,,,5200.0,0.9,0.84
1259,K2-275 b,405.0,5.65 Earths,12.063,2018,Neptune-like,0.2 x Jupiter,0.04 AU,3.3 days,0.0,K2-274,Transit,,,5065.0,0.81,0.74
1260,K2-275 c,405.0,6.08 Earths,12.063,2018,Neptune-like,0.209 x Jupiter,0.075 AU,8.4 days,0.0,K2-275,Transit,,,4812.0,0.79,0.73
1261,K2-276 b,1598.0,13.7 Earths,14.627,2018,Neptune-like,0.336 x Jupiter,0.1291 AU,18.7 days,0.0,K2-275,Transit,,,4812.0,0.79,0.73
1262,K2-277 b,370.0,4.94 Earths,10.364,2018,Super Earth,2.07 x Earth,0.0675 AU,6.3 days,0.0,K2-276,Transit,,,5139.0,0.82,0.85
1263,K2-278 b,2623.0,9.17 Earths,13.412,2018,Neptune-like,0.266 x Jupiter,0.0488 AU,3.3 days,0.0,K2-277,Transit,,,5741.0,1.02,0.97
1264,K2-279 b,600.0,1.92 Earths,11.491,2018,Super Earth,1.21 x Earth,0.067 AU,7.1 days,0.0,K2-278,Transit,,,6747.0,1.4,1.61
1265,K2-27 b,820.0,30.9 Earths,12.64,2016,Neptune-like,0.4 x Jupiter,0.06702 AU,6.8 days,0.25,K2-279,Transit,,,5558.0,0.79,0.86
1266,K2-280 b,1295.0,0.144 Jupiters,12.536,2018,Gas Giant,0.684 x Jupiter,0.1488 AU,19.9 days,0.0,K2-28,Transit,88.9,,3214.0,0.26,0.29
1267,K2-281 b,1520.0,0.16 Jupiters,15.117,2018,Gas Giant,0.73 x Jupiter,0.0773 AU,8.7 days,0.0,K2-280,Transit,,,5742.0,1.11,1.28
1268,K2-282 b,1638.0,8.35 Earths,14.042,2018,Neptune-like,0.252 x Jupiter,0.0499 AU,4.2 days,0.0,K2-281,Transit,,,4812.0,0.82,0.76
1269,K2-283 b,1332.0,12.2 Earths,14.445,2018,Neptune-like,0.314 x Jupiter,0.0291 AU,1.9 days,0.0,K2-282,Transit,,,,0.94,
1270,K2-284 b,351.0,8.15 Earths,13.322,2018,Neptune-like,0.248 x Jupiter,0.04771 AU,4.8 days,0.08,K2-283,Transit,,,5060.0,0.89,0.82
1271,K2-285 b,508.0,9.68 Earths,12.03,2018,Super Earth,0.231 x Jupiter,0.03817 AU,3.5 days,0.0,K2-284,Transit,89.0,,4140.0,0.63,0.61
1272,K2-285 c,508.0,15.68 Earths,12.03,2018,Neptune-like,0.315 x Jupiter,0.0824 AU,7.1 days,0.0,K2-285,Transit,86.846,3.07,4975.0,0.83,0.79
1273,K2-285 d,508.0,6.5 Earths,12.03,2018,Neptune-like,0.221 x Jupiter,0.1178 AU,10.5 days,0.0,K2-285,Transit,89.861,1.95,4975.0,0.83,0.79
1274,K2-285 e,508.0,10.7 Earths,12.03,2018,Neptune-like,1.95 x Earth,0.18041 AU,14.8 days,0.0,K2-285,Transit,89.643,,4975.0,0.83,0.79
1275,K2-286 b,249.0,5.06 Earths,12.763,2018,Neptune-like,2.1 x Earth,0.1768 AU,27.4 days,0.0,K2-285,Transit,89.799,,4975.0,0.83,0.79
1276,K2-287 b,519.0,0.315 Jupiters,11.41,2018,Gas Giant,0.847 x Jupiter,0.1206 AU,14.9 days,0.48,K2-286,Transit,89.67,,3926.0,0.64,0.62
1277,K2-288 B b,214.0,4.27 Earths,13.868,2018,Super Earth,1.9 x Earth,0.164 AU,31.4 days,0.0,K2-287,Transit,88.13,,5695.0,1.06,1.07
1278,K2-289 b,883.0,0.192 Jupiters,14.465,2019,Gas Giant,0.812 x Jupiter,0.107 AU,13.2 days,0.0,K2-288 B,Transit,89.81,,3341.0,0.33,0.32
1279,K2-28 b,206.0,5.99 Earths,16.061,2016,Neptune-like,0.207 x Jupiter,0.0214 AU,2.3 days,0.0,K2-289,Transit,88.48,,5529.0,0.95,1.02
1280,K2-290 b,897.0,10.9 Earths,11.114,2019,Super Earth,0.273 x Jupiter,0.0923 AU,9.2 days,0.0,K2-29,Transit,86.656,0.53,5358.0,0.94,0.86
1281,K2-290 c,897.0,0.774 Jupiters,11.114,2019,Gas Giant,1.006 x Jupiter,0.305 AU,48.4 days,0.0,K2-290,Transit,88.14,4.1,6302.0,1.19,1.51
1282,K2-291 b,295.0,6.49 Earths,10.014,2019,Super Earth,1.589 x Earth,0.03261 AU,2.2 days,0.0,K2-290,Transit,89.37,1.01,6302.0,1.19,1.51
1283,K2-292 b,373.0,24.5 Earths,9.917,2019,Neptune-like,0.235 x Jupiter,0.13 AU,17 days,0.04,K2-291,Transit,85.26,8.84,5520.0,0.93,0.9
1284,K2-293 b,1294.0,6.57 Earths,13.357,2019,Neptune-like,0.219 x Jupiter,Unknown,13.1 days,0.0,K2-292,Transit,88.4,7.4,5725.0,1.0,1.09
1285,K2-294 b,1230.0,3.39 Earths,12.502,2019,Super Earth,1.66 x Earth,Unknown,2.5 days,0.0,K2-293,Transit,88.8,,5532.0,0.96,0.95
1286,K2-295 b,736.0,0.335 Jupiters,13.946,2018,Gas Giant,0.897 x Jupiter,0.0451 AU,4 days,0.0,K2-294,Transit,85.5,,5612.0,0.99,1.2
1287,K2-29 b,585.0,0.73 Jupiters,12.526,2016,Gas Giant,1.19 x Jupiter,0.04217 AU,3.3 days,0.07,K2-295,Transit,89.3,0.612,4444.0,0.74,0.7
1288,K2-308 b,,0.222 Jupiters,14.963,2019,Gas Giant,0.884 x Jupiter,Unknown,3.4 days,0.0,K2-3,Transit,89.588,3.7,3896.0,0.6,0.56
1289,K2-30 b,1097.0,0.579 Jupiters,13.53,2016,Gas Giant,1.039 x Jupiter,0.04839 AU,4.1 days,0.0,K2-3,Transit,89.905,2.98,3896.0,0.6,0.56
1290,K2-315 b,185.0,0.809 Earths,17.67,2020,Terrestrial,0.95 x Earth,Unknown,3.1 days,0.0,K2-3,Transit,89.788,5.62,3896.0,0.6,0.56
1291,K2-316 b,368.0,2.33 Earths,15.514,2020,Super Earth,1.33 x Earth,0.0147 AU,1.1 days,0.0,K2-30,Transit,86.92,0.64,5425.0,0.9,0.84
1292,K2-316 c,368.0,4.01 Earths,15.514,2020,Super Earth,1.83 x Earth,0.0582 AU,5.3 days,0.0,K2-308,Transit,88.44,,6100.0,1.09,1.24
1293,K2-317 b,578.0,8.91 Earths,16.639,2020,Neptune-like,0.261 x Jupiter,0.0542 AU,6.2 days,0.0,K2-31,Transit,79.9,,5280.0,0.91,0.78
1294,K2-318 b,484.0,3.39 Earths,15.269,2020,Super Earth,1.66 x Earth,0.0911 AU,7 days,0.0,K2-315,Transit,88.74,,3300.0,0.17,0.2
1295,K2-319 b,687.0,8.2 Earths,12.172,2020,Neptune-like,0.249 x Jupiter,0.1516 AU,26.7 days,0.0,K2-316,Transit,87.02,,3436.0,0.41,0.38
1296,K2-31 b,362.0,1.774 Jupiters,10.775,2016,Gas Giant,1.06 x Jupiter,0.022 AU,1.3 days,0.0,K2-316,Transit,89.31,,3436.0,0.41,0.38
1297,K2-320 b,356.0,7.37 Earths,16.355,2020,Neptune-like,0.234 x Jupiter,0.0142 AU,2 days,0.0,K2-317,Transit,89.22,,3387.0,0.4,0.38
1298,K2-321 b,254.0,4.46 Earths,13.677,2020,Super Earth,1.95 x Earth,0.041 AU,2.3 days,0.0,K2-318,Transit,89.38,,3851.0,0.56,0.55
1299,K2-322 b,404.0,4.35 Earths,13.941,2020,Super Earth,1.92 x Earth,0.0594 AU,8.2 days,0.0,K2-319,Transit,89.45,,5440.0,0.95,0.9
1300,K2-323 b,387.0,5.06 Earths,14.932,2020,Neptune-like,2.1 x Earth,0.1275 AU,24.9 days,0.0,K2-32,Transit,,,,0.86,0.84
1301,K2-324 b,447.0,6.48 Earths,15.399,2020,Neptune-like,0.217 x Jupiter,0.0331 AU,3.3 days,0.0,K2-32,Transit,,,,0.86,0.84
1302,K2-325 b,365.0,5.48 Earths,16.137,2020,Neptune-like,2.2 x Earth,0.0419 AU,6.9 days,0.0,K2-32,Transit,,,,0.86,0.84
1303,K2-326 b,928.0,5.82 Earths,15.342,2020,Neptune-like,0.203 x Jupiter,0.0198 AU,1.3 days,0.0,K2-32,Transit,,,,0.86,0.84
1304,K2-32 b,517.0,16.5 Earths,12.31,2016,Neptune-like,0.443 x Jupiter,0.08035 AU,9 days,0.0,K2-320,Transit,87.84,,3157.0,0.12,0.3
1305,K2-32 c,517.0,12.1 Earths,12.31,2016,Neptune-like,0.244 x Jupiter,0.1399 AU,20.7 days,0.0,K2-321,Transit,88.94,,3855.0,0.6,0.58
1306,K2-32 d,517.0,10.3 Earths,12.31,2016,Neptune-like,0.292 x Jupiter,0.1862 AU,31.7 days,0.0,K2-322,Transit,88.15,,4141.0,0.63,0.6
1307,K2-32 e,517.0,1.01 Earths,12.31,2019,Super Earth,1.01 x Earth,0.04951 AU,4.3 days,0.0,K2-323,Transit,89.88,,3710.0,0.48,0.55
1308,K2-33 b,456.0,3.7 Jupiters,15.714,2016,Neptune-like,0.45 x Jupiter,0.0409 AU,5.4 days,0.0,K2-324,Transit,88.33,,3752.0,0.52,0.51
1309,K2-34 b,1149.0,1.698 Jupiters,11.548,2016,Gas Giant,1.245 x Jupiter,0.0426 AU,3 days,0.0,K2-325,Transit,89.37,,3287.0,0.27,0.3
1310,K2-35 b,830.0,4.38 Earths,14.35,2016,Super Earth,1.93 x Earth,0.055 AU,5.6 days,0.12,K2-326,Transit,85.63,,3924.0,0.51,0.69
1311,K2-35 c,830.0,2.3 Earths,14.35,2016,Super Earth,1.32 x Earth,0.031 AU,2.4 days,0.13,K2-33,Transit,89.1,,3540.0,0.56,1.05
1312,K2-36 b,359.0,3.9 Earths,11.8,2016,Super Earth,1.43 x Earth,0.0223 AU,1.4 days,0.0,K2-34,Transit,,,6071.0,1.15,1.44
1313,K2-36 c,359.0,7.8 Earths,11.8,2016,Neptune-like,0.285 x Jupiter,0.054 AU,5.3 days,0.0,K2-35,Transit,88.58,,4402.71,0.7,0.62
1314,K2-37 b,590.0,3.22 Earths,12.52,2016,Super Earth,1.61 x Earth,0.0511 AU,4.4 days,0.0,K2-35,Transit,88.98,,4402.71,0.7,0.62
1315,K2-37 c,590.0,8 Earths,12.52,2016,Neptune-like,0.245 x Jupiter,0.0654 AU,6.4 days,0.0,K2-36,Transit,84.45,7.2,4916.0,0.79,0.72
1316,K2-37 d,590.0,7.9 Earths,12.52,2016,Neptune-like,0.244 x Jupiter,0.1103 AU,14.1 days,0.0,K2-36,Transit,86.917,1.3,4916.0,0.79,0.72
1317,K2-38 b,632.0,19.0698 Earths,11.39,2016,Super Earth,1.906 x Earth,0.05073 AU,4 days,0.0,K2-37,Transit,87.28,,5413.0,0.9,0.85
1318,K2-38 c,632.0,9.9 Earths,11.39,2016,Super Earth,0.216 x Jupiter,0.0964 AU,10.6 days,0.0,K2-37,Transit,87.37,,5413.0,0.9,0.85
1319,K2-39 b,1012.0,28.6047 Earths,10.83,2016,Neptune-like,0.56 x Jupiter,0.05708 AU,4.6 days,0.0,K2-37,Transit,88.34,,5413.0,0.9,0.85
1320,K2-3 b,147.0,6.48 Earths,12.17,2015,Super Earth,1.98 x Earth,0.074 AU,10.1 days,0.0,K2-38,Transit,87.28,,5757.0,2.24,1.38
1321,K2-3 c,147.0,2.14 Earths,12.17,2015,Super Earth,1.56 x Earth,0.1345 AU,24.6 days,0.0,K2-38,Transit,88.61,3.6,5757.0,2.24,1.38
1322,K2-3 d,147.0,2.8 Earths,12.17,2015,Super Earth,1.53 x Earth,0.2097 AU,44.6 days,0.0,K2-39,Transit,80.39,,4881.0,0.66,2.97
