,name,light_years_from_earth,planet_mass,stellar_magnitude,discovery_date,planet_type,planet_radius,orbital_radius,orbital_period,eccentricity,solar_system_name,planet_discovery_method,planet_orbital_inclination,planet_density,host_temperature,host_mass,host_radius
2774,Kepler-31 c,5701.0,4.7 Jupiters,15.224,2011,Gas Giant,0.473 x Jupiter,0.26 AU,42.6 days,0.0,Kepler-319,Transit,,,5526.0,,0.9
2775,Kepler-31 d,5701.0,6.8 Jupiters,15.224,2014,Gas Giant,0.348 x Jupiter,0.4 AU,87.6 days,0.0,Kepler-319,Transit,,,5526.0,,0.9
2776,Kepler-320 b,2762.0,1.55 Earths,13.434,2014,Super Earth,1.14 x Earth,0.085 AU,8.4 days,0.0,Kepler-32,Transit,,,3900.0,0.58,0.53
2777,Kepler-320 c,2762.0,2.45 Earths,13.434,2014,Super Earth,1.37 x Earth,0.142 AU,17.9 days,0.0,Kepler-32,Transit,,,3900.0,0.58,0.53
2778,Kepler-321 b,1268.0,3.78 Earths,12.755,2014,Super Earth,1.77 x Earth,0.057 AU,4.9 days,0.0,Kepler-32,Transit,,,3900.0,0.58,0.53
2779,Kepler-321 c,1268.0,5.99 Earths,12.755,2014,Neptune-like,0.207 x Jupiter,0.11 AU,13.1 days,0.0,Kepler-32,Transit,,,3900.0,0.58,0.53
2780,Kepler-322 b,1322.0,1.01 Earths,13.503,2014,Super Earth,1.01 x Earth,0.027 AU,1.7 days,0.0,Kepler-32,Transit,,,3900.0,0.58,0.53
2781,Kepler-322 c,1322.0,3.43 Earths,13.503,2014,Super Earth,1.67 x Earth,0.051 AU,4.3 days,0.0,Kepler-320,Transit,,,6435.0,,1.11
2782,Kepler-323 b,1503.0,2.153 Jupiters,12.658,2014,Super Earth,1.43 x Earth,0.028 AU,1.7 days,0.0,Kepler-320,Transit,,,6435.0,,1.11
2783,Kepler-323 c,1503.0,0.251 Jupiters,12.658,2014,Super Earth,1.63 x Earth,0.046 AU,3.6 days,0.0,Kepler-321,Transit,,,5740.0,,1.19
2784,Kepler-324 b,1660.0,1.55 Earths,14.091,2014,Super Earth,1.14 x Earth,0.05 AU,4.4 days,0.0,Kepler-321,Transit,,,5740.0,,1.19
2785,Kepler-324 c,1660.0,10.1 Earths,14.091,2014,Neptune-like,0.281 x Jupiter,0.26 AU,51.8 days,0.0,Kepler-322,Transit,,,5388.0,,0.89
2786,Kepler-325 b,2750.0,8.8 Earths,15.005,2014,Neptune-like,0.26 x Jupiter,0.053 AU,4.5 days,0.0,Kepler-322,Transit,,,5388.0,,0.89
2787,Kepler-325 c,2750.0,6.99 Earths,15.005,2014,Neptune-like,0.227 x Jupiter,0.105 AU,12.8 days,0.0,Kepler-323,Transit,,,5987.0,,1.18
2788,Kepler-325 d,2750.0,8.2 Earths,15.005,2014,Neptune-like,0.249 x Jupiter,0.22 AU,38.7 days,0.0,Kepler-323,Transit,,,5987.0,,1.18
2789,Kepler-326 b,1612.0,0.14 Jupiters,13.679,2014,Super Earth,1.52 x Earth,0.032 AU,2.2 days,0.0,Kepler-324,Transit,,,5194.0,,0.84
2790,Kepler-326 c,1612.0,17.4 Earths,13.679,2014,Super Earth,1.4 x Earth,0.051 AU,4.6 days,0.0,Kepler-324,Transit,,,5194.0,,0.84
2791,Kepler-326 d,1612.0,6.9 Earths,13.679,2014,Super Earth,1.21 x Earth,0.066 AU,6.8 days,0.0,Kepler-325,Transit,,,5752.0,,1.0
2792,Kepler-327 b,795.0,1.41 Earths,14.98,2014,Super Earth,1.11 x Earth,0.029 AU,2.5 days,0.0,Kepler-325,Transit,,,5752.0,,1.0
2793,Kepler-327 c,795.0,20.3 Earths,14.98,2014,Super Earth,1.03 x Earth,0.047 AU,5.2 days,0.0,Kepler-325,Transit,,,5752.0,,1.0
2794,Kepler-327 d,795.0,3.64 Earths,14.98,2014,Super Earth,1.73 x Earth,0.09 AU,14 days,0.0,Kepler-326,Transit,,,5105.0,,0.8
2795,Kepler-328 b,7680.0,28.5 Earths,15.604,2013,Super Earth,0.205 x Jupiter,Unknown,34.9 days,0.0,Kepler-326,Transit,,,5105.0,,0.8
2796,Kepler-328 c,7680.0,39.4 Earths,15.604,2013,Gas Giant,0.482 x Jupiter,Unknown,71.3 days,0.0,Kepler-326,Transit,,,5105.0,,0.8
2797,Kepler-329 b,1452.0,2.54 Earths,15.431,2014,Super Earth,1.4 x Earth,0.061 AU,7.4 days,0.0,Kepler-327,Transit,,,3799.0,,0.49
2798,Kepler-329 c,1452.0,4.38 Earths,15.431,2014,Super Earth,1.93 x Earth,0.113 AU,18.7 days,0.0,Kepler-327,Transit,,,3799.0,,0.49
2799,Kepler-32 b,1066.0,4.1 Jupiters,16.452,2011,Gas Giant,2.2 x Earth,0.05 AU,5.9 days,0.0,Kepler-327,Transit,,,3799.0,,0.49
2800,Kepler-32 c,1066.0,0.5 Jupiters,16.452,2011,Neptune-like,2.0 x Earth,0.09 AU,8.8 days,0.0,Kepler-328,Transit,,,5914.0,1.1,1.0
2801,Kepler-32 d,1066.0,7.75 Earths,16.452,2012,Neptune-like,0.241 x Jupiter,0.13 AU,22.8 days,0.0,Kepler-328,Transit,,,5914.0,1.1,1.0
2802,Kepler-32 e,1066.0,2.86 Earths,16.452,2012,Super Earth,1.5 x Earth,0.033 AU,2.9 days,0.0,Kepler-329,Transit,,,4257.0,,0.52
2803,Kepler-32 f,1066.0,0.477 Earths,16.452,2012,Terrestrial,0.82 x Earth,0.013 AU,0.7 days,0.0,Kepler-329,Transit,,,4257.0,,0.52
2804,Kepler-330 b,2389.0,2.39 Earths,15.263,2014,Super Earth,1.35 x Earth,0.075 AU,8.3 days,0.0,Kepler-33,Transit,86.39,,5904.0,1.29,1.82
2805,Kepler-330 c,2389.0,4.46 Earths,15.263,2014,Super Earth,1.95 x Earth,0.116 AU,16 days,0.0,Kepler-33,Transit,88.19,,5904.0,1.29,1.82
2806,Kepler-331 b,1923.0,3.97 Earths,15.836,2014,Super Earth,1.82 x Earth,0.065 AU,8.5 days,0.0,Kepler-33,Transit,88.71,,5904.0,1.29,1.82
2807,Kepler-331 c,1923.0,4.04 Earths,15.836,2014,Super Earth,1.84 x Earth,0.105 AU,17.3 days,0.0,Kepler-33,Transit,88.94,,5904.0,1.29,1.82
